
[10 20 30 40] [0.18 0.37 0.55 0.73]
[12 21 30 40] [0.22 0.38 0.54 0.72]
[6 5 4 9] [0.48 0.4  0.32 0.72]
[12  6  6 10] [0.68 0.34 0.34 0.56]
[12  6  6 99] [0.12 0.06 0.06 0.99]
[1200  600  600 9900] [0.12 0.06 0.06 0.99]
cos(0, 5) = 0.7990 cos(0, 4) = 0.7990 cos(0, 3) = 0.8422 cos(0, 2) = 0.9296 cos(0, 1) = 0.9993 
cos(1, 5) = 0.7933 cos(1, 4) = 0.7933 cos(1, 3) = 0.8609 cos(1, 2) = 0.9410 
cos(2, 5) = 0.8084 cos(2, 4) = 0.8084 cos(2, 3) = 0.9667 
cos(3, 5) = 0.6779 cos(3, 4) = 0.6779 
cos(4, 5) = 1.0000 



--- components = 2

--- model = KMeans(n_clusters=2, random_state=42)
10-20-30-40	0	a
12-21-30-40	0	b
6-5-4-9	0	c
12-6-6-10	0	d
12-6-6-99	1	e
1200-600-600-9900	1	f

--- model = GaussianMixture(n_components=2, random_state=42)
10-20-30-40	0	a
12-21-30-40	0	b
6-5-4-9	0	c
12-6-6-10	0	d
12-6-6-99	1	e
1200-600-600-9900	1	f

--- components = 3

--- model = KMeans(n_clusters=3, random_state=42)
6-5-4-9	0	c
12-6-6-10	0	d
12-6-6-99	1	e
1200-600-600-9900	1	f
10-20-30-40	2	a
12-21-30-40	2	b

--- model = GaussianMixture(n_components=3, random_state=42)
6-5-4-9	0	c
12-6-6-10	0	d
12-6-6-99	1	e
1200-600-600-9900	1	f
10-20-30-40	2	a
12-21-30-40	2	b

--- components = 4

--- model = KMeans(n_clusters=4, random_state=42)
12-6-6-10	0	d
12-6-6-99	1	e
1200-600-600-9900	1	f
10-20-30-40	2	a
12-21-30-40	2	b
6-5-4-9	3	c

--- model = GaussianMixture(n_components=4, random_state=42)
12-6-6-10	0	d
12-6-6-99	1	e
1200-600-600-9900	1	f
10-20-30-40	2	a
12-21-30-40	2	b
6-5-4-9	3	c

--- components = 5

--- model = KMeans(n_clusters=5, random_state=42)
12-6-6-10	0	d
12-6-6-99	1	e
1200-600-600-9900	1	f
12-21-30-40	2	b
6-5-4-9	3	c
10-20-30-40	4	a

--- model = GaussianMixture(n_components=5, random_state=42)
12-6-6-10	0	d
12-6-6-99	1	e
1200-600-600-9900	1	f
12-21-30-40	2	b
6-5-4-9	3	c
10-20-30-40	4	a

--- components = 6

--- model = KMeans(n_clusters=6, random_state=42)
12-6-6-99	0	e
1200-600-600-9900	0	f
6-5-4-9	1	c
12-21-30-40	2	b
12-6-6-10	3	d
10-20-30-40	4	a

--- model = GaussianMixture(n_components=6, random_state=42)
12-6-6-10	0	d
12-6-6-99	1	e
1200-600-600-9900	1	f
12-21-30-40	2	b
6-5-4-9	3	c
10-20-30-40	4	a
